snapshot_ts_ist,platform,location,brand,is_own,brand_sku,size,pack,barcode,platform_product_id,listing_name,price,mrp,discount_pct,state,inventory,rating,merchant_id,note
2026-07-13T08:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,9,4.61,31719,
2026-07-13T09:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,9,4.61,31719,
2026-07-13T10:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,9,4.61,31719,
2026-07-13T11:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,9,4.61,31719,
2026-07-13T12:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,8,4.61,31719,
2026-07-13T13:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,8,4.61,31719,
2026-07-13T14:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,8,4.61,31719,
2026-07-13T15:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,8,4.61,31719,
2026-07-13T16:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,7,4.61,31719,
2026-07-13T17:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,6,4.61,31719,
2026-07-13T18:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,6,4.61,31719,
2026-07-13T19:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,5,4.61,31719,
2026-07-13T20:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,4,4.61,31719,
2026-07-13T21:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,4,4.61,31719,
2026-07-13T22:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,715505,PoppiGo Period Panty 5X Slimmer Japanese Gel,149.0,389.0,61.7,available,4,4.61,31719,
2026-07-13T08:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,7,4.61,31719,
2026-07-13T09:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,7,4.61,31719,
2026-07-13T10:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,7,4.61,31719,
2026-07-13T11:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,7,4.61,31719,
2026-07-13T12:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,7,4.61,31719,
2026-07-13T13:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,7,4.61,31719,
2026-07-13T14:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,7,4.61,31719,
2026-07-13T15:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,6,4.61,31719,
2026-07-13T16:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,6,4.61,31719,
2026-07-13T17:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,5,4.61,31719,
2026-07-13T18:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,4,4.61,31719,
2026-07-13T19:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,3,4.61,31719,
2026-07-13T20:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,3,4.61,31719,
2026-07-13T21:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,3,4.61,31719,
2026-07-13T22:00:00+05:30,blinkit,DEMO-Mumbai,PoppiGo,True,PoppiGo Period Panty 5X Slimmer Japanese Gel,,Single,,716059,PoppiGo Period Panty 5X Slimmer Japanese Gel,159.0,379.0,58.0,available,2,4.61,31719,
2026-07-13T08:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,2,4.52,31719,
2026-07-13T09:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,2,4.52,31719,
2026-07-13T10:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,7,4.52,31719,
2026-07-13T11:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,6,4.52,31719,
2026-07-13T12:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,5,4.52,31719,
2026-07-13T13:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,4,4.52,31719,
2026-07-13T14:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,3,4.52,31719,
2026-07-13T15:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,3,4.52,31719,
2026-07-13T16:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,2,4.52,31719,
2026-07-13T17:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,7,4.52,31719,
2026-07-13T18:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,6,4.52,31719,
2026-07-13T19:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,4,4.52,31719,
2026-07-13T20:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,3,4.52,31719,
2026-07-13T21:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,3,4.52,31719,
2026-07-13T22:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,629758,Azah Leak Proof Period Panty,129.0,189.0,31.7,available,2,4.52,31719,
2026-07-13T08:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,7,4.7,31719,
2026-07-13T09:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,7,4.7,31719,
2026-07-13T10:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,7,4.7,31719,
2026-07-13T11:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,6,4.7,31719,
2026-07-13T12:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,5,4.7,31719,
2026-07-13T13:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,5,4.7,31719,
2026-07-13T14:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,4,4.7,31719,
2026-07-13T15:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,4,4.7,31719,
2026-07-13T16:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,4,4.7,31719,
2026-07-13T17:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,3,4.7,31719,
2026-07-13T18:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,2,4.7,31719,
2026-07-13T19:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,9,4.7,31719,
2026-07-13T20:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,8,4.7,31719,
2026-07-13T21:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,8,4.7,31719,
2026-07-13T22:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty,,Single,,552580,Azah Leak Proof Period Panty,129.0,219.0,41.1,available,8,4.7,31719,
2026-07-13T08:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,1,4.52,31719,
2026-07-13T09:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,1,4.52,31719,
2026-07-13T10:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,7,4.52,31719,
2026-07-13T11:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,7,4.52,31719,
2026-07-13T12:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,7,4.52,31719,
2026-07-13T13:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,7,4.52,31719,
2026-07-13T14:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,7,4.52,31719,
2026-07-13T15:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,7,4.52,31719,
2026-07-13T16:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,6,4.52,31719,
2026-07-13T17:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,6,4.52,31719,
2026-07-13T18:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,6,4.52,31719,
2026-07-13T19:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,6,4.52,31719,
2026-07-13T20:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,6,4.52,31719,
2026-07-13T21:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,6,4.52,31719,
2026-07-13T22:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,682809,Azah Leak Proof Period Panty - Pack of 2,255.0,378.0,32.5,available,6,4.52,31719,
2026-07-13T08:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T09:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T10:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T11:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T12:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T13:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T14:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T15:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T16:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T17:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T18:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
2026-07-13T19:00:00+05:30,blinkit,DEMO-Mumbai,Azah,False,Azah Leak Proof Period Panty - Pack of 2,,Pack of 2,,555978,Azah Leak Proof Period Panty - Pack of 2,254.0,438.0,42.0,available,12,4.7,31719,
